logf, loghc
-3.478617673021024, -14.164972939606878
-3.47837871544487, -14.246457473075438
-3.467988802103914, -14.095452405099971
-3.4678219110983464, -14.152362237998648
-3.4676550200927783, -14.209272070897326
-3.4562128716049747, -14.109248728226923
-3.457773049641875, -14.192888937184069
-3.446368830928064, -14.07993154158215
-3.446201939922496, -14.136841374480827
-3.4450994478251076, -14.204960719920152
-3.434527155487537, -14.1161468897904
-3.4342641757211876, -14.205822990115587
-3.43768670566113, -14.270062119675456
-3.427366014157711, -14.095452405099971
-3.4244681794246676, -14.160122669757559
-3.4243012884190995, -14.217032502656235
-3.4249941389573664, -14.2886009288773
-3.4177065650475655, -14.311019953958596
-3.4161691448750604, -14.21961931324254
-3.4086666355793005, -14.315331304935768
-3.4012566749320827, -14.379484207476095
-3.3969463354155502, -14.310157683763162
-3.389993807842685, -14.372241137834445
-3.3796099000492776, -14.373103408029879
-3.381200421905372, -14.446396374641811
-3.369545866683209, -14.418803728387907
-3.369327770482751, -14.493174532744133
-3.358584161999313, -14.462779508355066
-3.3593017933232554, -14.525897686660873
-3.3478348640497764, -14.434324591905728
-3.3485378291944414, -14.502443937345053
-3.3429596237659123, -14.55762922985286
-3.336106977931228, -14.431737781319425
-3.3368466085240858, -14.48735420892495
-3.3309131275458252, -14.355858004121188
-3.326199720964329, -14.423977349560515
-3.321428155396045, -14.204098449724718
-3.3212726433226747, -14.25712806674394
-3.3238329030671836, -14.307570873176857
-3.3236660120616155, -14.364480706075534
-3.3098241732058726, -14.159260399562124
-3.3114323956231635, -14.226517474806014
-3.2990420027855425, -14.142014995653435
-3.2997474965818068, -14.209272070897326
-3.3005035634100612, -14.259283742232526
-3.2900172452268737, -14.141152725458
-3.2862824268143913, -14.183403965034291
-3.2720683704431996, -14.105109831288837
-3.273672041287611, -14.173918992884511
-3.2610313119416383, -14.174781263079945
-3.264480392723376, -14.229966555587753
-3.2642376421698227, -14.312744494349465
-3.2594736625563367, -14.090278783927365
-3.2499254741165697, -14.26790644418687
-3.250628439261235, -14.336025789626195
-3.2513769201346903, -14.3886242715477
-3.2485195438272396, -14.131667753308221
-3.2483526528216715, -14.188577586206897
-3.2399398289500865, -14.28687638848643
-3.240637736791552, -14.356720274316624
-3.233362806139749, -14.374827948420748
-3.2234707210824474, -14.361893895489231
-3.2128048686356947, -14.304984062590554
-3.2135179483867575, -14.369654327248142
-3.2018374744856994, -14.35089995049744
-3.1959084186477376, -14.21789477285167
-3.1966088551408034, -14.28687638848643
-3.1910028345446793, -14.351546653144016
-3.193513785582997, -14.418803728387907
-3.1854903740577374, -14.076482460800413
-3.186185753247604, -14.14718861682604
-3.186018862242036, -14.204098449724718
-3.1858785220782626, -14.251954445571332
-3.1884387818227715, -14.302397252004251
-3.181224538809356, -13.991979981647832
-3.174753719366198, -14.043716193373902
-3.1754440412528657, -14.1161468897904
-3.1752771502472976, -14.173056722689076
-3.1777881012856155, -14.240313797932966
-3.169746989199159, -13.904028421713514
-3.170444897040625, -13.973872307543708
-3.163928561868676, -14.041129382787599
-3.1589294176564353, -13.898854800540906
-3.159619739543103, -13.971285496957403
-3.158277025543761, -14.121320510963006
-3.161630017564717, -14.209272070897326
-3.152657729526739, -14.036602464261566
-3.1490752623731266, -13.872986694677872
-3.148908371367559, -13.929896527576549
-3.142386978892411, -13.998878143211307
-3.1430899440370754, -14.066997488650633
-3.143800495136539, -14.132530023503655
-3.134897112854648, -14.090278783927365
-3.132869134271837, -14.1661585611256
-3.126362913706286, -14.229966555587753
-3.127081050760548, -14.292912279854471
-3.119654401012774, -14.362756165684665
-3.1203700094154363, -14.426564160146818
-3.1228771674763554, -14.49511464068386
-3.1144554933241717, -14.2886009288773
-3.110159314256596, -14.214445692069932
-3.108806485650856, -14.367929786857273
-3.1094955432117235, -14.440791618371486
-3.109332445183555, -14.496408045977013
-3.103632864478249, -14.28515184809556
-3.098439014092846, -14.209272070897326
-3.1015037398314576, -14.395522433111175
-3.0932299917978456, -14.138565914871696
-3.0964439079808286, -14.273942335554912
-3.0912095991698334, -14.211858881483629
-3.0828321764206414, -13.990255441256963
-3.0835250269589083, -14.061823867478026
-3.0842229348003745, -14.131667753308221
-3.0776231541256416, -13.919549285231334
-3.077687634741429, -14.20539185501787
-3.0733295037096653, -13.844531778228534
-3.0719792037555247, -13.99715360282044
-3.072673318619591, -14.068290893943786
-3.0752108204997044, -14.126494132135614
-3.066881442130903, -13.888507558195693
-3.06158189410864, -13.971802859074664
-3.0597506446202716, -13.85746583116005
-3.05059186852683, -13.902303881322645
-3.051277133110298, -13.97645911813001
-3.0511140350821293, -14.032075545735536
-3.0454643952459137, -14.111619971264368
-3.0433498103458194, -13.90920204288612
-3.0431829193402518, -13.966111875784797
-3.0430160283346837, -14.023021708683475
-3.037387249874164, -14.095452405099971
-3.035344099381756, -14.176505803470814
-3.0279300928919795, -14.242038338323836
-3.028625472081846, -14.312744494349465
-3.0293511950909062, -14.373103408029879
-3.0171883808972413, -14.210996611288195
-3.017891346041906, -14.27911595672752
-3.0177244550363382, -14.336025789626195
-3.0175651499855687, -14.39034881193857
-3.0201747184362677, -14.423977349560515
-3.007195149775959, -14.232553366174056
-3.00791834413342, -14.293774550049905
-3.0058119773510246, -14.39638470330661
